message,label
Send your OTP now to prevent your account from being suspended. Case 49855.,1
Your reward is waiting. Submit your banking details immediately. Case 76164.,1
Your monthly account summary is available to view. Reference 82963.,0
Your deposit of ₹750 has been credited to your account. Reference 72781.,0
Urgent verification required. Failure to respond will result in account suspension. Case 26193.,1
Your loan payment of ₹750 has been received. Reference 15535.,0
Your account balance has been updated after your transaction. Reference 79588.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 58099.,1
Send your OTP now to prevent your account from being suspended. Case 54793.,1
Your card payment at Mobile Service for ₹500 was approved.,0
Send your OTP now to prevent your account from being suspended. Case 91003.,1
Your scheduled payment of ₹1000 has been processed.,0
Your payment due date is 20 September. Reference 69298.,0
Click here to receive your refund immediately. Case 51724.,1
Your account statement for July is now available. Reference 44562.,0
You have been selected for a cash reward. Enter your card details to claim it. Case 32900.,1
Your mobile recharge of ₹1500 was successful. Reference 45669.,0
Your bank account is at risk. Provide your OTP now. Case 61345.,1
Act now! Your account security check expires today. Case 39607.,1
Your reward is waiting. Submit your banking details immediately. Case 91785.,1
Your bank account is at risk. Provide your OTP now. Case 96570.,1
Your payment of ₹1000 to Electricity Board was successful.,0
Click here to receive your refund immediately. Case 24141.,1
Your card will be blocked today. Confirm your PIN immediately. Case 29809.,1
Your loan payment of ₹25000 has been received. Reference 83284.,0
Act now! Your account security check expires today. Case 52655.,1
Your card payment at Travel Services for ₹750 was approved.,0
Your scheduled payment of ₹5000 has been processed. Reference 69338.,0
Your recurring payment of ₹1000 was completed. Reference 16117.,0
Your bank account is at risk. Provide your OTP now. Case 13667.,1
Your electricity bill payment of ₹1000 was processed. Reference 49948.,0
Your bank transfer to Supermarket is complete.,0
Congratulations! You won ₹10000. Pay a fee to claim your reward. Case 56976.,1
We detected a problem with your account. Click the link and verify now. Case 26718.,1
Your scheduled payment of ₹250 has been processed. Reference 96556.,0
Your monthly account summary is available to view. Reference 31206.,0
Send your OTP now to prevent your account from being suspended. Case 51901.,1
Your mobile recharge of ₹5000 was successful. Reference 67496.,0
Share the verification code you received to secure your account. Case 25818.,1
Your account statement for March is now available.,0
Your deposit of ₹2500 has been credited to your account. Reference 31864.,0
Your recurring payment of ₹1500 was completed.,0
Your debit card transaction of ₹250 was completed. Reference 52034.,0
Your account balance has been updated after your transaction. Reference 63411.,0
Your reward is waiting. Submit your banking details immediately. Case 30315.,1
Click this link immediately to avoid account closure. Case 91962.,1
Your account statement for June is now available. Reference 78219.,0
Your KYC has expired. Verify your details now using the link. Case 40841.,1
Urgent! Your account will be blocked unless you verify immediately. Case 91980.,1
Your reward is waiting. Submit your banking details immediately. Case 67870.,1
Your account has been credited with ₹10000. Reference 75494.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 21284.,1
Send your OTP now to prevent your account from being suspended. Case 62037.,1
Your account balance has been updated after your transaction. Reference 75161.,0
Your electricity bill payment of ₹10000 was processed.,0
Your refund of ₹1500 has been processed.,0
Security alert! Share your verification code to cancel the suspicious transaction. Case 10665.,1
Your account balance has been updated after your transaction.,0
Your payment failed. Enter your card details at this link to receive a refund. Case 44517.,1
Your account balance has been updated after your transaction. Reference 71457.,0
Your transfer of ₹1000 has been completed successfully. Reference 11974.,0
We detected a problem with your account. Click the link and verify now.,1
Your recurring payment of ₹250 was completed. Reference 63903.,0
Someone attempted a transaction. Give us your OTP to cancel it. Case 86818.,1
Your transaction reference TXN2684 has been completed. Reference 59221.,0
Your debit card transaction of ₹25000 was completed. Reference 99842.,0
